record_id,year,quarter,business_division,respondent_count,response_rate_pct,nps_score,csat_score_5pt,satisfaction_top2_pct,key_strength,key_improvement,complaint_count,complaint_resolution_rate_pct,source_system,created_at,updated_at,updated_by
CRM-CS-2024-0001,2024,2,IT인프라·DC 서비스,180,68.5,52,4.35,82.5,99.99% 가용성,비용 투명성,6,96.5,CRM,2024-04-10 08:00:00,2024-04-10 09:00:00,user_crm
CRM-CS-2024-0002,2024,2,클라우드 서비스,165,71.2,58,4.42,85.0,전환 속도,기술 지원,5,97.0,CRM,2024-04-10 08:00:00,2024-04-10 09:00:00,user_crm
CRM-CS-2024-0003,2024,2,IT아웃소싱(ITO),145,65.8,45,4.28,79.5,대응력,전문성,8,95.5,CRM,2024-04-10 08:00:00,2024-04-10 09:00:00,user_crm
CRM-CS-2024-0004,2024,2,스마트팩토리 솔루션,120,74.5,61,4.48,87.2,현장 적용력,UI/UX,3,98.0,CRM,2024-04-10 08:00:00,2024-04-10 09:00:00,user_crm
CRM-CS-2024-0005,2024,2,물류IT·SCM,110,67.3,49,4.31,80.8,실시간 가시성,연동성,7,96.0,CRM,2024-04-10 08:00:00,2024-04-10 09:00:00,user_crm
CRM-CS-2024-0006,2024,2,금융IT,98,70.1,55,4.4,84.0,보안,속도,4,97.5,CRM,2024-04-10 08:00:00,2024-04-10 09:00:00,user_crm
CRM-CS-2024-0007,2024,4,IT인프라·DC 서비스,180,68.5,52,4.35,82.5,99.99% 가용성,비용 투명성,6,96.5,CRM,2024-10-10 08:00:00,2024-10-10 09:00:00,user_crm
CRM-CS-2024-0008,2024,4,클라우드 서비스,165,71.2,58,4.42,85.0,전환 속도,기술 지원,5,97.0,CRM,2024-10-10 08:00:00,2024-10-10 09:00:00,user_crm
CRM-CS-2024-0009,2024,4,IT아웃소싱(ITO),145,65.8,45,4.28,79.5,대응력,전문성,8,95.5,CRM,2024-10-10 08:00:00,2024-10-10 09:00:00,user_crm
CRM-CS-2024-0010,2024,4,스마트팩토리 솔루션,120,74.5,61,4.48,87.2,현장 적용력,UI/UX,3,98.0,CRM,2024-10-10 08:00:00,2024-10-10 09:00:00,user_crm
CRM-CS-2024-0011,2024,4,물류IT·SCM,110,67.3,49,4.31,80.8,실시간 가시성,연동성,7,96.0,CRM,2024-10-10 08:00:00,2024-10-10 09:00:00,user_crm
CRM-CS-2024-0012,2024,4,금융IT,98,70.1,55,4.4,84.0,보안,속도,4,97.5,CRM,2024-10-10 08:00:00,2024-10-10 09:00:00,user_crm
